slug,name,name_secondary_language,name_tertiary_language,area_of_reference,area_of_reference_secondary_language,area_of_reference_tertiary_language,point_of_reference,point_of_reference_secondary_language,point_of_reference_tertiary_language,lat,lon
gb--london-central-london,GB: London: Central London,,,Chancery Lane,,,Chancery Lane Tube Station,,,51.5181,-0.1124
gb--london-east-london,GB: London: East London,,,East Ham,,,East Ham tube station,,,51.539366,0.052593
gb--london-north-london,GB: London: North London,,,Bowes Park,,,Bowes Park train station,,,51.60715,-0.12051
gb--london-west-london,GB: London: West London,,,Perivale,,,Perivale tube station,,,51.53647,-0.32266
gb--london-surrey-south-west-london,GB: London-Surrey: South West London,,,Kingston upon Thames,,,Kingston train station,,,51.41285,-0.30191
gb--london-south-london,GB: London: South London,,,Anerley Park,,,Penge West train station,,,51.417492,-0.060757
gb--essex-hertfordshire-epping-harlow-stortford,GB: Essex-Hertfordshire: Epping-Harlow-Stortford,,,Harlow,,,Harlow Post Office,,,51.769677,0.094146
gb--hertfordshire-watford-st-albans,GB: Hertfordshire: Watford-St Albans,,,Bricket Wood,,,Bricket Wood train station,,,51.70536,-0.3592
gb--essex-grays,GB: Essex: Grays,,,Grays,,,Grays train station,,,51.47636,0.32187
gb--hertfordshire-stevenage-welwyn,GB: Hertfordshire: Stevenage-Welwyn,,,Knebworth,,,Knebworth train station,,,51.86677,-0.18711
gb--buckinghamshire-chilterns,GB: Buckinghamshire: Chilterns,,,Princes Risborough,,,Princes Risborough train station,,,51.71791,-0.84432
gb--berkshire-windsor-slough-maidenhead,GB: Berkshire: Windsor-Slough-Maidenhead,,,Dorney Reach,,,Dorney village hall,,,51.50719,-0.68098
gb--berkshire-reading,GB: Berkshire: Reading,,,Reading,,,Reading train station,,,51.4594,-0.9723
gb--surrey-hampshire-guildford-woking-blackwater,GB: Surrey-Hampshire: Guildford-Woking-Blackwater,,,Normandy,,,Chapel Farm,,,51.25897,-0.65448
gb--west-sussex-surrey-crawley,GB: West Sussex-Surrey: Crawley,,,Crawley,,,Crawley train station,,,51.11199,-0.18657
gb--kent-dartford-gravesend,GB: Kent: Dartford-Gravesend,,,Greenhithe,,,Greenhithe train station,,,51.45043,0.27985
gb--kent-east-sussex-tunbridge-sevenoaks,GB: Kent-East Sussex: Tunbridge-Sevenoaks,,,Tonbridge,,,Tonbridge train station,,,51.19141,0.26985
gb--kent-medway-maidstone,GB: Kent: Medway-Maidstone,,,Chatham,,,Beechen Hall,,,51.32668,0.54028
gb--essex-chelmsford,GB: Essex: Chelmsford,,,Chelmsford,,,Chelmsford train station,,,51.7366,0.4687
gb--essex-southend-basildon,GB: Essex: Southend-Basildon,,,South Benfleet,,,Benfleet train station,,,51.544,0.56155
gb--kent-ashford,GB: Kent: Ashford,,,Ashford,,,Ashford train station,,,51.1434,0.8751
gb--essex-colchester,GB: Essex: Colchester,,,Colchester,,,Colchester train station,,,51.9007,0.8924
gb--bedfordshire-bedford,GB: Bedfordshire: Bedford,,,Bedford,,,Bedford train station,,,52.13589,-0.47988
gb--buckinghamshire-milton-keynes,GB: Buckinghamshire: Milton Keynes,,,Milton Keynes,,,Milton Keynes Central train station,,,52.0343,-0.775
gb--bedfordshire-luton,GB: Bedfordshire: Luton,,,Luton,,,Luton train station,,,51.8825,-0.41409
gb--west-midlands-birmingham,GB: West Midlands: Birmingham,,,Colmore Row,,,St Philip's Cathedral,,,52.481176,-1.89895
gb--west-midlands-sutton,GB: West Midlands: Sutton,,,Sutton Coldfield,,,Sutton Coldfield train station,,,52.564707,-1.825265
gb--west-midlands-northfield,GB: West Midlands: Northfield,,,Northfield,,,Northfield train station,,,52.40825,-1.96509
gb--west-midlands-black-country,GB: West Midlands: Black Country,,,Coseley,,,Coseley train station,,,52.54521,-2.08581
gb--west-midlands-arden,GB: West Midlands: Arden,,,Dorridge,,,Dorridge train station,,,52.37181,-1.75275
gb--west-midlands-warwickshire-coventry,GB: West Midlands-Warwickshire: Coventry,,,Coventry,,,Coventry Cathedral,,,52.408622,-1.507112
gb--bristol,GB: Bristol,,,Bristol,,,Bristol Cathedral,,,51.451684,-2.600691
gb--leicestershire,GB: Leicestershire,,,Leicester,,,Leicester Cathedral,,,52.634702,-1.137101
gb--east-sussex-west-sussex-brighton-worthington,GB: East Sussex-West Sussex: Brighton-Worthington,,,Shoreham-by-Sea,,,Shoreham-by-Sea train station,,,50.83433,-0.27157
gb--hampshire-southampton-winchester,GB: Hampshire: Southampton-Winchester,,,Eastleigh,,,Eastleigh train station,,,50.96874,-1.35007
gb--hampshire-portsmouth,GB: Hampshire: Portsmouth,,,Portsmouth,,,Portsmouth and Southsea train station,,,50.79811,-1.09074
gb--northamptonshire-northampton,GB: Northamptonshire: Northampton,,,Northampton,,,Northampton train station,,,52.23727,-0.9071
gb--norfolk-norwich,GB: Norfolk: Norwich,,,Norwich,,,Norwich train station,,,52.62623,1.30767
gb--dorset-bournemouth,GB: Dorset: Bournemouth,,,Bournemouth,,,St Peter's Church,,,50.720546,-1.875465
gb--cambridgeshire-peterborough,GB: Cambridgeshire: Peterborough,,,Peterborough,,,Peterborough train station,,,52.57456,-0.25035
gb--wiltshire-swindon,GB: Wiltshire: Swindon,,,Swindon,,,Swindon train station,,,51.56561,-1.78588
gb--oxfordshire,GB: Oxfordshire,,,Oxford,,,Oxford Town Hall,,,51.751546,-1.257076
gb--shropshire-telford-shrewsbury,GB: Shropshire: Telford-Shrewsbury,,,Allscott,,,Allscott Village Green,,,52.71023,-2.57544
gb--cambridgeshire-cambridge,GB: Cambridgeshire: Cambridge,,,Cambridge,,,The Guildhall,,,52.204756,0.119326
gb--suffolk-ipswitch,GB: Suffolk: Ipswitch,,,Ipswitch,,,Ipswitch train station,,,52.05037,1.14472
